year,genre,title,movieRating,avg_vote
2005,"Action, Comedy, Crime",Mr. & Mrs. Smith,good,6.5
2005,Drama,The Ballad of Jack and Rose,good,6.6
2005,"Thriller, Crime, Romance",Rx,okay,5.4
2005,"Action, Adventure, Crime",Elektra,okay,4.7
2005,"Drama, Horror, Mystery",Boogeyman,okay,4.2
2005,"Horror, Thriller",Dr. Rage,bad,2.6
2005,"Animation, Adventure, Come",Robots,good,6.3
2005,"Biography, Drama, Music",Walk the Line,good,7.8
2005,"Action, Thriller",Into the Sun,okay,4.4
2005,"Adventure, Sci-Fi",Ainoa,okay,4.9
2005,"Drama, Horror, Mystery",Silence Becomes You,okay,4.3
2005,"Comedy, Drama, Romance",Standing Still,okay,5.7
2005,"Action, Fantasy, Horror",Constantine,good,7.0
2005,"Action, Adventure, Drama",King Kong,good,7.2
2005,"Animation, Adventure, Come",Valiant,okay,5.5
2005,"Comedy, Drama, Music",Happy Endings,good,6.3
2005,"Adventure, Drama, Family",Duma,good,7.2
2005,"Comedy, Family, Fantasy",Son of the Mask,bad,2.2
2005,Drama,Hermanas,good,6.5
2005,Drama,Monobloc,okay,4.8
2005,"Drama, Romance",Bewafaa,okay,4.3
2005,"Comedy, Drama, Romance",Bigger Than the Sky,okay,5.9
2005,"Adventure, Family, Fantasy","The Chronicles of Narnia: The Lion, the Witch and t",good,6.9
2005,"Drama, Romance",Lovesick,okay,3.4
2005,"Biography, Drama",Le promeneur du Champ de Mars,good,7.1
2005,"Comedy, Fantasy, Horror",The Gingerdead Man,okay,3.4
2005,"Drama, Romance",Neo Ned,good,7.1
2005,"Thriller, Action, Adventur",The Unknown,okay,3.4
2005,"Comedy, Romance",Dating Games People Play,okay,5.0
2005,"Adventure, Comedy, Sci-Fi",Man with the Screaming Brain,okay,5.6
2005,"Comedy, Drama",Las mantenidas sin sueños,good,6.9
2005,"Comedy, Crime, Thriller",The Matador,good,6.7
2005,"Action, Crime, Drama",Revolver,good,6.4
2005,"Drama, Thriller",Syriana,good,6.9
2005,"Action, Adventure, Comedy",San wa,good,6.1
2005,"Comedy, Drama",The Upside of Anger,good,6.8
2005,Drama,Géminis,,6.0
2005,"Drama, Fantasy, Mystery",The Jacket,good,7.1
2005,"Action, Drama",Lethal,bad,2.5
2005,"Adventure, Fantasy",Mirrormask,good,6.8
2005,"Drama, Romance, War",Sorstalanság,good,6.9
2005,"Comedy, Drama",The Squid and the Whale,good,7.3
2005,"Adventure, Comedy, Family",Charlie and the Chocolate Factory,good,6.6
2005,Comedy,Deuce Bigalow: European Gigolo,okay,4.7
2005,Drama,Hallesche Kometen,good,6.7
2005,"Comedy, Musical, Romance",Romance & Cigarettes,good,6.3
2005,Thriller,Trouble,okay,5.8
2005,"Romance, Thriller",Echoes of Innocence,okay,5.2
2005,"Comedy, Romance",Americano,good,6.1
2005,"Adventure, Comedy, Family",Are We There Yet?,okay,4.7
2005,"Drama, Family, Comedy",Crab Orchard,okay,4.4
2005,"Comedy, Drama, Romance",Elizabethtown,good,6.4
2005,"Drama, Horror",The Lazarus Child,okay,5.0
2005,"Crime, Drama, Romance",Separate Lies,good,6.4
2005,"Action, Horror, Sci-Fi",Alone in the Dark,bad,2.4
2005,"Action, Adventure, Comedy",Bal-Can-Can,good,7.7
2005,"Comedy, Crime",Fun with Dick and Jane,good,6.1
2005,"Comedy, Romance",Monster-in-Law,okay,5.5
2005,Comedy,Strangers with Candy,,6.0
2005,"Drama, Music, Romance",Shooting Livien,okay,5.4
2005,"Drama, Mystery, Thriller",Stay,good,6.8
2005,"Action, Adventure, Fantasy",Tetsujin niju-hachigo,okay,5.2
2005,"Comedy, Drama, Romance",Window Theory,okay,3.9
2005,"Drama, Fantasy, Horror",Beneath Still Waters,okay,3.8
2005,"Animation, Adventure, Come",Chicken Little,okay,5.7
2005,"Adventure, Action, Fantasy",Forbidden Warrior,okay,3.5
2005,"Adventure, Comedy, Sci-Fi",The Hitchhiker's Guide to the Galaxy,good,6.7
2005,"Crime, Drama, Horror",The Zodiac,okay,5.4
2005,"Drama, Horror, Thriller",La monja,okay,4.0
2005,"Action, Crime, Drama",Secuestro express,good,6.5
2005,"Comedy, Drama, Music",Adam & Steve,okay,5.9
2005,"Comedy, Romance",Guess Who,okay,5.9
2005,"Animation, Adventure, Come",Dinotopia: Quest for the Ruby Sunstone,okay,5.2
2005,"Crime, Drama",Iowa,okay,5.0
2005,"Comedy, Romance",Sex Sells: The Making of 'Touché',okay,4.8
2005,"Comedy, Romance",The Wedding Date,good,6.2
2005,"Action, Adventure",Batman Begins,good,8.2
2005,"Comedy, Romance",The Extra,okay,5.1
2005,"Action, Comedy, Crime",Underclassman,okay,4.3
