year,genre,title,movieRating,duration,avg_vote
2005,Comedy,Pizza,okay,80,5.7
2005,Drama,The Californians,okay,87,4.8
2005,"Crime, Drama",Hollywood Flies,okay,95,4.5
2005,"Drama, Mystery",Proof,good,100,6.7
2005,"Horror, Mystery, Thriller",The Ring Two,okay,110,5.4
2005,"Drama, Romance, Thriller",Three,okay,95,4.9
2005,"Comedy, Crime, Drama",Be Cool,okay,118,5.6
2005,"Drama, Music",Don't Come Knocking,good,122,6.6
2005,Comedy,The Dukes of Hazzard,okay,104,5.1
2005,"Drama, Mystery, Romance",Erosion,okay,100,4.4
2005,"Action, Adventure, Crime",Into the Blue,okay,110,5.8
2005,"Action, Adventure, Crime",Left for Dead,,105,3.5
2005,"Crime, Drama",Piggy Banks,okay,87,5.4
2005,"Drama, Romance",Schneeland,good,142,6.8
2005,"Action, Drama",Target of Opportunity,,88,3.8
2005,"Action, Comedy, Thriller",Dead Fish,okay,98,5.4
2005,Drama,Ghosts Never Sleep,okay,85,4.3
2005,"Comedy, Family",Bailey's Billion$,,90,3.9
2005,"Biography, Crime, Drama",Capote,good,114,7.3
2005,"Action, Adventure, Sci-Fi",Serenity,good,119,7.8
2005,"Action, Crime, Drama",Back in the Day,okay,103,4.4
2005,"Drama, Romance, Sport",Goal!,good,118,6.7
2005,"Crime, Drama",Oliver Twist,good,130,6.8
2005,"Comedy, Family, Romance",The Perfect Man,okay,100,5.5
2005,"Drama, Romance",Pogled sa Ajfelovog tornja,okay,92,4.7
2005,"Comedy, Drama",Winter Passing,good,98,6.3
2005,"Drama, Romance",Une aventure,okay,100,5.0
2005,"Romance, Comedy",Flirt,okay,90,5.8
2005,"Drama, Fantasy, Romance",The Last Sign,,91,3.3
2005,"Comedy, Drama",Pretty Persuasion,good,104,6.5
2005,"Action, Sci-Fi, Thriller",Slipstream,okay,89,4.5
2005,Drama,Vers le sud,good,108,6.3
2005,"Drama, Romance",The Good Humor Man,okay,112,6.0
2005,"Drama, Romance",Heights,good,93,6.9
2005,"Drama, Horror, Mystery",Hide and Seek,okay,101,6.0
2005,"Crime, Drama, Mystery",La historia del baúl rosado,good,97,6.2
2005,"Crime, Drama, Romance",Rosario Tijeras,good,126,6.3
2005,"Action, Comedy, Crime",Vet hard,good,88,6.2
2005,"Comedy, Drama, Romance",Things to Do Before You're 30,okay,101,5.6
2005,"Action, Comedy, Drama",Die Bluthochzeit,good,92,6.6
2005,Drama,Dallas Pashamende,good,93,6.5
2005,"Drama, Horror, Mystery",Dark Water,okay,105,5.6
2005,"Drama, Mystery, Romance",Look Both Ways,good,100,7.0
2005,"Crime, Drama, Romance",Little Fish,good,114,6.2
2005,"Action, Sci-Fi, Western",Planetfall,,90,3.0
2005,"Adventure, Comedy, Family",Kameleon 2,okay,105,5.9
2005,"Action, Adventure, Sci-Fi",Stealth,okay,121,5.1
2005,"Comedy, Drama, Music",Vom Suchen und Finden der Liebe,okay,107,5.7
2005,"Action, Adventure, Fantasy",BloodRayne,bad,95,2.9
2005,"Crime, Mystery, Thriller",Deepwater,okay,93,5.4
2005,"Comedy, Horror, Sci-Fi",Evil Aliens,okay,93,5.3
2005,Comedy,Mall Cop,okay,87,5.0
2005,Drama,Mouth to Mouth,good,103,6.2
2005,"Comedy, Drama, Music",Sueño,okay,108,5.2
2005,"Crime, Drama",Police Beat,good,80,6.7
2005,"Comedy, Sport",Af banen,okay,80,5.0
2005,"Drama, Horror, Mystery",Cry Wolf,okay,90,5.8
2005,Drama,Swimmers,good,90,6.5
2005,"Comedy, Family, Romance",Kicking & Screaming,okay,95,5.6
2005,"Comedy, Drama",The Weather Man,good,102,6.5
2005,"Drama, History, Romance",The White Countess,good,135,6.6
2005,"Drama, War",Missing in America,good,102,6.6
2005,Horror,The Amityville Horror,okay,90,6.0
2005,"Drama, Romance",Trouble with Sex,okay,88,5.2
2005,"Drama, Romance",The Dying Gaul,good,92,6.4
2005,"Crime, Drama, Sport",Hooligans,good,109,7.5
2005,"Comedy, Drama, Romance",How the Garcia Girls Spent Their Summer,good,128,6.3
2005,"Comedy, Drama",Lonesome Jim,good,91,6.6
2005,Comedy,The Long Weekend,okay,85,5.2
2005,"Action, Comedy, Crime",Miss Congeniality 2: Armed & Fabulous,okay,115,5.1
2005,Horror,Boo,okay,94,4.2
2005,"Action, Crime, Drama",Crash Landing,,88,3.7
2005,"Animation, Action, Adventu",Fainaru fantajî sebun adobento chirudoren,good,101,7.2
2005,Comedy,The Godfather of Green Bay,okay,90,5.6
2005,Comedy,My Big Fat Independent Movie,,80,3.2
2005,"Comedy, Crime",Le parfum de la dame en noir,okay,115,5.7
2005,"Action, Adventure, Romance",The Legend of Zorro,okay,129,5.9
2005,Drama,Duck,okay,96,6.0
2005,"Drama, Mystery, Thriller",Inside Out,okay,90,5.4
2005,"Comedy, Romance",Hitch,good,118,6.6
2005,"Comedy, Romance",Love for Rent,good,96,7.0
2005,"Drama, Mystery, Thriller",The River King,okay,99,5.8
2005,Comedy,Store planer!,okay,96,5.4
2005,Action,The Vault,bad,87,1.9
2005,"Drama, Romance",Aurora Borealis,good,110,6.7
2005,"Crime, Drama",Batalla en el cielo,okay,98,5.6
2005,"Drama, Family",Bee Season,okay,104,5.5
2005,"Crime, Horror, Thriller",Cold and Dark,okay,94,4.0
2005,"Drama, Mystery, Romance",The Constant Gardener,good,129,7.4
2005,"Mystery, Thriller, Drama",The Iris Effect,,90,3.2
2005,"Comedy, Drama, Romance",Prime,good,105,6.2
2005,"Horror, Thriller",The Roost,okay,80,4.9
2005,"Drama, Mystery, Thriller",Caché,good,117,7.3
2005,"Comedy, Drama, Romance",In Her Shoes,good,130,6.4
2005,"Comedy, Crime",King's Ransom,okay,95,4.3
2005,Comedy,The L.A. Riot Spectacular,okay,80,4.9
2005,"Drama, Romance",Loverboy,okay,84,5.4
2005,Comedy,My Big Phat Hip Hop Family,bad,108,1.6
2005,Drama,Paha maa,good,130,7.4
2005,"Action, Adventure, Drama",River Queen,okay,114,6.0
2005,"Action, Thriller",Transporter 2,good,87,6.3
2005,Comedy,Beauty Shop,okay,105,5.5
2005,Drama,"Va, vis et deviens",good,140,7.9
2005,Drama,Anklaget,good,103,7.0
2005,"Drama, Romance",Brokeback Mountain,good,134,7.7
2005,"Drama, Mystery, Thriller",The Circle,okay,103,5.6
2005,"Action, Comedy, Sci-Fi",The Girl from Monday,okay,84,5.2
2005,"Biography, Drama, History",The Greatest Game Ever Played,good,120,7.4
2005,"Comedy, Crime, Music",Johnny Slade's Greatest Hits,okay,88,6.0
2005,Drama,O Signo do Caos,good,80,6.7
2005,Drama,Budjenje iz mrtvih,good,134,6.5
2005,"Action, Adventure, Drama",Deck Dogz,okay,90,4.9
2005,"Action, Crime, Drama",Edison,okay,99,5.3
2005,"Comedy, Drama, Family",Waqt: The Race Against Time,good,153,6.8
2005,"Comedy, Drama, Romance",A Lot Like Love,good,107,6.6
2005,"Crime, Drama, Romance",A Perfect Fit,okay,85,5.2
2005,Drama,Three Dollars,good,118,6.2
2005,"Comedy, Drama, Romance",Adam and Eve,okay,91,4.5
2005,"Thriller, Drama",Confess,okay,89,5.0
2005,"Comedy, Drama, Romance",Mozart and the Whale,good,94,6.9
2005,Comedy,When Do We Eat?,okay,86,5.9
2005,"Action, Crime, Drama",Brick,good,110,7.3
2005,"Biography, Drama, Sport",Coach Carter,good,136,7.3
2005,Drama,Leef!,good,110,6.9
2005,Drama,The Nickel Children,okay,95,5.5
2005,"Horror, Mystery, Thriller",Reeker,okay,90,5.2
2005,"Comedy, Fantasy, Horror",Santa's Slay,okay,78,5.3
2005,"Romance, Comedy",The Third Wish,okay,93,4.3
2005,"Comedy, Musical",The Producers,good,134,6.3
2005,Drama,3 Needles,good,127,6.4
2005,Drama,Bab'Aziz,good,96,7.6
2005,Drama,Bye Bye Blackbird,okay,99,5.8
2005,"Drama, Music, Romance",Forty Shades of Blue,good,108,6.2
2005,"Comedy, Drama",Le courage d'aimer,okay,103,5.8
2005,Drama,States of Grace,good,128,6.8
2005,Horror,The Devil's Rejects,good,107,6.8
2005,"Drama, Horror, Mystery",House of 9,okay,86,5.5
2005,"Action, Comedy, Drama",The Pacifier,okay,95,5.6
2005,"Drama, Western",Truce,okay,106,5.9
2005,Drama,North Country,good,126,7.3
2005,Action,Pit Fighter,okay,83,4.5
2005,"Drama, Comedy",Maman Last Call,good,96,6.1
2005,"Comedy, Romance",Wedding Crashers,good,119,6.9
2005,"Drama, Crime",Willenbrock,good,105,6.8
2005,Drama,FAQs,okay,95,5.8
2005,"Comedy, Drama, Family",Ice Princess,okay,98,6.0
2005,"Drama, Thriller",The King,good,105,6.7
2005,"Drama, History, Musical",Kisna: The Warrior Poet,okay,170,4.5
2005,"Comedy, Family, Fantasy",Nanny McPhee,good,97,6.5
2005,"Action, Crime, Drama",Shadowboxer,okay,93,5.5
2005,Horror,House of Wax,okay,108,5.3
2005,"Drama, Horror, Mystery",The Skeleton Key,good,104,6.5
2005,"Adventure, Drama",Smile,good,107,6.3
2005,"Comedy, Crime",Drop Dead Sexy,okay,83,5.0
2005,"Action, Drama",Game Over,bad,90,2.8
2005,Drama,Man to Man,good,122,6.5
2005,"Drama, Romance",Memoirs of a Geisha,good,145,7.4
2005,Drama,Obaba,good,100,6.5
2005,Comedy,"Travaux, on sait quand ça commence...",okay,95,5.2
2005,Comedy,Zemanovaload,okay,90,6.0
2005,Drama,A fény ösvényei,good,90,6.9
2005,"Crime, Drama, Thriller",Derailed,good,108,6.6
2005,Thriller,Devil's Highway,,91,3.5
2005,"Drama, Romance, Thriller",Down in the Valley,good,108,6.4
2005,"Action, Thriller",Throttle,okay,86,5.1
2005,"Comedy, Crime, Sport",The Longest Yard,good,113,6.4
2005,Drama,Special Ed,good,108,6.7
2005,"Comedy, Drama, Romance",Rumor Has It...,okay,97,5.5
2005,"Action, Horror, Thriller",Vampires: The Turning,,84,3.5
2005,Drama,Nordeste,good,104,6.6
2005,"Action, Crime, Drama",Assault on Precinct 13,good,109,6.3
2005,"Comedy, Horror",Dead Meat,okay,87,4.1
2005,"Comedy, Family",Down and Derby,okay,90,5.5
2005,"Comedy, Drama",Duane Hopwood,good,84,6.6
2005,"Crime, Drama, Thriller",A History of Violence,good,96,7.4
2005,"Action, Sci-Fi, Thriller",The Island,good,136,6.8
2005,"Comedy, Drama, Romance",Je préfère qu'on reste amis,okay,100,6.0
2005,"Action, Crime, Drama",Lord of War,good,122,7.6
2005,"Action, Comedy, Crime",The Man,okay,83,5.5
2005,"Adventure, Biography, Dram",End of the Spear,good,108,6.8
2005,"Drama, Thriller",Ambulancen,okay,80,5.2
2005,"Comedy, Drama, Romance",Chanthupottu,good,127,6.6
2005,"Drama, Horror, Mystery",Bag det stille ydre,okay,93,4.6
2005,"Drama, Mystery, Romance",Die blaue Grenze,good,107,6.4
2005,"Adventure, Comedy, Family",Herbie Fully Loaded,okay,101,4.8
2005,"Comedy, Crime, Drama",The Ice Harvest,good,92,6.3
2005,Drama,Lepel,good,96,6.3
2005,Comedy,"Tu vas rire, mais je te quitte",okay,90,5.0
2005,"Comedy, Drama",C.R.A.Z.Y.,good,127,7.9
2005,"Comedy, Romance",The Baxter,good,91,6.5
2005,Horror,The Curse of El Charro,bad,90,2.9
2005,"Comedy, Drama",Say Uncle,okay,91,5.5
2005,"Drama, Thriller",Fierce People,good,107,6.5
2005,"Action, Adventure, Comedy",The Helix... Loaded,bad,97,2.1
2005,"Animation, Adventure, Dram",Der kleine Eisbär 2: Die geheimnisvolle Insel,okay,80,5.6
2005,"Comedy, Drama",Brooklyn Lobster,good,94,6.3
2005,"Crime, Thriller",Sin City,good,124,8.0
2005,"Drama, Romance",Xiang ri kui,good,129,7.2
2005,"Drama, Fantasy, Horror",Tamara,okay,98,5.1
2005,"Action, Adventure, Crime",Æon Flux,okay,93,5.4
2005,Comedy,Avant qu'il ne soit trop tard,okay,84,5.4
2005,Comedy,Bab el web,okay,99,4.6
2005,"Action, Adventure, Drama",Beowulf & Grendel,okay,103,5.8
2005,"Action, Drama",Chok-Dee,good,105,6.2
2005,Comedy,Just Sex and Nothing Else,good,97,6.3
2005,"Action, Crime, Drama",L'empire des loups,okay,128,5.9
2005,"Comedy, Drama, Romance",The Great New Wonderful,okay,87,5.7
2005,Comedy,Hating Alison Ashley,okay,100,5.5
2005,"Horror, Thriller",The Dark Hours,okay,80,6.0
2005,Comedy,Iznogoud,,95,3.7
2005,"Biography, Drama, History",The New World,good,135,6.7
2005,Comedy,Ivkova slava,good,110,7.2
2005,Drama,Unge Andersen,good,110,6.4
2005,"Comedy, Crime, Drama",The Big White,good,100,6.4
2005,"Adventure, Comedy, Drama",Casanova,good,112,6.5
2005,"Action, Adventure, Horror",The Cave,okay,97,5.1
2005,"Action, Crime, Drama",Chaos,good,106,6.5
2005,"Action, Drama, Romance",Supercross,okay,80,4.3
2005,"Drama, Music",Last Days,okay,97,5.8
2005,Horror,Snuff-Movie,,92,3.9
2005,"Crime, Drama, Romance",Nordkraft,good,125,6.8
2005,"Family, Fantasy, Sci-Fi",Oskar & Josefine,okay,80,5.2
2005,"Comedy, Drama, Music",Roll Bounce,good,112,6.1
2005,"Comedy, Drama, Romance",The Sisterhood of the Traveling Pants,good,119,6.5
2005,"Comedy, Drama",Solkongen,good,86,6.1
2005,"Musical, Action, Crime",State Property 2,okay,94,4.6
2005,"Comedy, Drama",The Ape,okay,92,4.5
2005,"Crime, Drama, Mystery",Chasing Ghosts,okay,119,5.4
2005,"Comedy, Drama",Everything Is Illuminated,good,106,7.4
2005,"Drama, Horror, Thriller",The Exorcism of Emily Rose,good,119,6.7
2005,"Crime, Drama",Les mauvais joueurs,okay,85,5.3
2005,"Biography, Drama",The Notorious Bettie Page,good,91,6.5
2005,Comedy,The Moguls,good,96,6.3
2005,"Adventure, Comedy, Family",Sky High,good,100,6.2
2005,Comedy,Suits on the Loose,okay,94,5.4
2005,"Comedy, Romance",The 40 Year Old Virgin,good,116,7.1
2005,"Comedy, Drama, Romance",Barfuss,good,118,7.2
2005,"Crime, Drama, Thriller",The Deal,okay,107,5.0
2005,"Horror, Thriller",Chaos,,74,3.2
2005,Drama,Loggerheads,good,95,7.1
2005,"Comedy, Drama, Romance",Nearing Grace,okay,105,5.8
